名称,基准,类型,保存值
点279,NA,Point,"113.660,-103.082,-11.857,0.009,-0.997,-0.072"
点280,NA,Point,"137.009,-108.132,66.953,0.009,-0.998,-0.061"
点281,NA,Point,"65.855,-106.611,32.642,0.009,-0.998,-0.066"
点282,NA,Point,"8.262,-105.003,1.278,0.009,-0.998,-0.070"
点283,NA,Point,"12.237,-109.803,75.518,0.009,-0.998,-0.059"
点284,NA,Point,"279.095,-31.417,3.550,0.000,-0.000,1.000"
点285,NA,Point,"287.159,130.199,3.550,0.000,-0.000,1.000"
点286,NA,Point,"430.056,-29.214,3.550,0.000,-0.000,1.000"
点287,NA,Point,"435.448,123.075,3.550,0.000,-0.000,1.000"
点288,NA,Point,"1382.163,-40.071,3.550,0.000,-0.000,1.000"
点289,NA,Point,"1401.042,111.083,3.550,0.000,-0.000,1.000"
点290,NA,Point,"1565.089,-58.088,3.550,0.000,-0.000,1.000"
点291,NA,Point,"1565.347,127.698,3.550,0.000,-0.000,1.000"
点292,NA,Point,"2067.100,-45.565,3.550,0.000,-0.000,1.000"
点293,NA,Point,"2054.109,119.879,3.550,0.000,-0.000,1.000"
点294,NA,Point,"2523.597,-58.816,3.550,0.000,-0.000,1.000"
点295,NA,Point,"2590.858,109.995,3.550,0.000,-0.000,1.000"
点296,NA,Point,"2971.772,-42.864,2.840,0.000,-0.000,1.000"
点297,NA,Point,"2978.412,100.722,2.840,0.000,-0.000,1.000"
点298,NA,Point,"3371.596,-58.588,2.840,0.000,-0.000,1.000"
点299,NA,Point,"3376.963,98.220,2.840,0.000,-0.000,1.000"
点300,NA,Point,"3788.653,-59.652,2.840,0.000,-0.000,1.000"
点301,NA,Point,"3788.867,88.406,2.840,0.000,-0.000,1.000"
点302,NA,Point,"4323.560,-50.009,2.840,0.000,-0.000,1.000"
点303,NA,Point,"4328.933,77.994,2.840,0.000,-0.000,1.000"
点304,NA,Point,"4924.375,-50.609,2.070,0.000,-0.000,1.000"
点305,NA,Point,"4922.761,62.754,2.070,0.000,-0.000,1.000"
点306,NA,Point,"5577.311,-52.292,2.070,0.000,-0.000,1.000"
点307,NA,Point,"5575.208,46.657,2.070,0.000,-0.000,1.000"
点308,NA,Point,"5714.884,-47.209,2.070,0.000,-0.000,1.000"
点309,NA,Point,"5737.590,43.706,2.070,0.000,-0.000,1.000"
点310,NA,Point,"6310.873,-49.902,2.069,0.000,-0.000,1.000"
点311,NA,Point,"6316.100,38.254,2.069,0.000,-0.000,1.000"
点312,NA,Point,"6.084,-105.939,84.435,-0.520,0.068,0.851"
点313,NA,Point,"27.840,-105.758,87.000,0.000,-0.000,1.000"
点314,NA,Point,"86.144,-105.534,87.000,0.000,-0.000,1.000"
点315,NA,Point,"123.262,-105.988,84.815,0.198,-0.027,0.980"
点316,NA,Point,"149.720,-104.400,76.939,0.306,-0.040,0.951"
点317,NA,Point,"209.930,-102.825,57.608,0.306,-0.040,0.951"
点318,NA,Point,"258.383,-102.595,45.708,0.093,-0.012,0.996"
点319,NA,Point,"296.875,-103.834,45.000,0.000,-0.000,1.000"
点320,NA,Point,"455.970,-103.098,45.000,0.000,-0.000,1.000"
点321,NA,Point,"666.684,-100.700,45.000,0.000,-0.000,1.000"
点322,NA,Point,"1017.605,-98.036,45.000,0.000,-0.000,1.000"
点323,NA,Point,"1276.033,-95.816,45.000,0.000,-0.000,1.000"
点324,NA,Point,"1340.579,-95.057,41.778,0.075,-0.001,0.997"
点325,NA,Point,"1476.995,-93.878,31.548,0.075,-0.001,0.997"
点326,NA,Point,"1538.954,-92.691,30.000,0.000,-0.000,1.000"
点327,NA,Point,"1808.749,-91.500,30.000,0.000,-0.000,1.000"
点328,NA,Point,"2088.407,-90.555,30.000,0.000,-0.000,1.000"
点329,NA,Point,"2325.822,-89.901,30.000,0.000,-0.000,1.000"
点330,NA,Point,"2604.207,-88.819,30.000,0.000,-0.000,1.000"
点331,NA,Point,"2878.788,-87.273,30.000,0.000,-0.000,1.000"
点332,NA,Point,"3184.918,-85.797,30.000,0.000,-0.000,1.000"
点333,NA,Point,"3588.284,-83.132,30.000,0.000,-0.000,1.000"
点334,NA,Point,"4067.352,-81.064,30.000,0.000,-0.000,1.000"
点335,NA,Point,"4538.486,-79.032,30.000,0.000,-0.000,1.000"
点336,NA,Point,"5027.253,-76.169,30.000,0.000,-0.000,1.000"
点337,NA,Point,"5532.938,-73.401,30.000,0.000,-0.000,1.000"
点338,NA,Point,"6074.459,-70.266,29.999,0.000,-0.000,1.000"
点339,NA,Point,"6711.458,-66.523,29.999,0.000,-0.000,1.000"
点340,NA,Point,"6729.385,-66.129,24.848,0.935,-0.011,0.354"
点341,NA,Point,"46.153,209.873,83.613,-0.561,0.075,0.825"
点342,NA,Point,"67.474,208.881,87.000,0.000,-0.000,1.000"
点343,NA,Point,"135.399,206.861,87.000,0.000,-0.000,1.000"
点344,NA,Point,"157.096,206.475,86.045,0.141,-0.018,0.990"
点345,NA,Point,"183.029,204.714,79.239,0.306,-0.040,0.951"
点346,NA,Point,"254.291,201.684,56.153,0.306,-0.040,0.951"
点347,NA,Point,"291.195,200.020,46.517,0.139,-0.018,0.990"
点348,NA,Point,"341.996,200.501,45.000,0.000,-0.000,1.000"
点349,NA,Point,"812.220,187.783,45.000,0.000,-0.000,1.000"
点350,NA,Point,"1277.032,174.968,45.000,0.000,-0.000,1.000"
点351,NA,Point,"1322.152,173.456,43.389,0.075,-0.001,0.997"
点352,NA,Point,"1477.350,167.986,31.745,0.075,-0.001,0.997"
点353,NA,Point,"1545.416,166.342,30.000,0.000,-0.000,1.000"
点354,NA,Point,"2281.800,150.108,30.000,0.000,-0.000,1.000"
点355,NA,Point,"3038.342,132.959,30.000,0.000,-0.000,1.000"
点356,NA,Point,"3648.115,118.057,30.000,0.000,-0.000,1.000"
点357,NA,Point,"4336.735,103.181,30.000,0.000,-0.000,1.000"
点358,NA,Point,"4993.933,87.522,30.000,0.000,-0.000,1.000"
点359,NA,Point,"5613.253,72.619,30.000,0.000,-0.000,1.000"
点360,NA,Point,"6150.527,59.724,30.000,0.000,-0.000,1.000"
点361,NA,Point,"6716.825,46.178,29.999,0.000,-0.000,1.000"
点362,NA,Point,"6730.530,45.497,25.157,0.923,-0.011,0.384"
